rank,name,price,sales7,gmv7,sales_total,gmv_total,commission,listed_days,shop,category,rating,reviews,source
369,"Jelly Cat Baseball Plush Bag Charm Collection, Adorable Plush Keychain, Cute Soft Coffee Bag Accessory, Adorable Cloud Gift for Her, Bag Charm",15.6,4.0,62.4,4.0,56.24,20.0,4,Cuddle Loop,时尚配件,,,products_new_us.csv
370,"Vionas women’s high-end autumn/winter Japanese plain polyester beret — black casual vintage painter octagonal cap, faceless small retro hat; accessories for women, hats for women, fashion hats",,4.0,47.6,4.0,47.6,10.0,4,66 Fashion,时尚配件,,,products_new_us.csv
381,85#14KGold-Figaro-10-24,9.0,4.0,36.0,4.0,36.0,,4,Holylegend Jewelry USA,时尚配件,,,products_new_us.csv
382,Skeleton SassCan Tab Opener Keychain – 3D Printed Middle Finger Nail Saver Soda Can Opener – Drink Tab Helper Accessory – Handmade Keychain Gift,5.0,4.0,23.64,4.0,23.64,15.5,4,LRB Handmade Creations,时尚配件,,,products_new_us.csv
383,"2026 Classic Flat Lens Bluelight Fashion Glasses, Unisex Full-Rim Plastic Square Frames, Anti-Eyestrain Eyewear, Ultra-Light Durable Men's Accessories, Suitable for Work & Daily Use, Clear-Tint Non-Prescription Glasses, Square Non-Prescription Glasses",9.9,4.0,39.6,4.0,39.6,14.5,4,THANHVLXDD10,时尚配件,,,products_new_us.csv
384,"2026 New 4-Piece Sun & Moon Ring Set, Vintage Purple Gem Stackable Rings, Gold & Silver Two-Tone Fashion Jewelry Combination, Perfect for Women's Daily Wear, Best Friend Gifts & Valentine's Day Gifts",3.31,4.0,13.24,4.0,13.24,,4,Chic Aura Glitters,时尚配件,,,products_new_us.csv
385,"8 Pack Glass Food Storage Containers with Airtight Lids, Glass Meal Prep Containers, Lunch Office Meal for Microwave, Oven, Freezer and Dishwasher, BPA Free",19.9,4.0,79.6,4.0,79.64,15.5,4,Rappold,时尚配件,,,products_new_us.csv
386,"2026 Unisex Large-Frame Fashion Glasses, Trendy Square Sunglasses, Trendy Beach Eyewear, Retro Design for Daily Wear, Photography, Travel, Beach, All Seasons outdoor activity summerwins",7.56,4.0,30.24,4.0,30.24,10.0,4,FY-Shop,时尚配件,,,products_new_us.csv
387,"Dainty Sun & Moon Elegant Rhinestone Chain Necklace for Women, Vintage Crescent Star Pendant Choker, Available in Gold & Silver, Daily Commute Vacation Jewelry, Birthday Gift for Girlfriend & Best Friend",3.05,4.0,12.2,4.0,12.2,,4,Chic Aura Glitters,时尚配件,,,products_new_us.csv
389,"Hair Extensions with Micro Rings, Includes I-Tip Hair Pliers, Micro Pulling Hook, Needle Loop Threader, Micro Links, Essential Tools Set, Cluster Extension Kit",6.4,4.0,25.6,4.0,25.6,,4,Wen Yan Store,时尚配件,,,products_new_us.csv
401,"Goose Costume for Porch Yard Goose Statue, Cute Outfit Dress‑Up Decor, Holiday Ornament for Halloween, Christmas, Outdoor Courtyard Festival Decoration",14.98,3.0,44.94,3.0,44.94,15.0,4,ORJ5163 shop,时尚配件,,,products_new_us.csv
402,"Women's Boho Layered Brown Leather Choker Necklace - Western Tassel Detail Lariat Form Y Necklace with Gold Teardrop Pendant, Adjustable Fit Statement Jewelry for Festival Outfits, Cowgirl Looks, Layered Look",9.99,3.0,29.97,3.0,29.97,15.0,4,Xara Studio,时尚配件,,,products_new_us.csv
403,"# 0361 14k Gold Plated Diamond Accent Earrings, High-Quality Glamorous Jewelry for Formal Events, Casual Occasions",17.99,3.0,53.97,3.0,53.97,15.5,4,Andrea Joyas laminadas,时尚配件,,,products_new_us.csv
404,"High-Quality Platinum Gold Fiber Synthetic Wig, 8-Inch Short Layered Bob, Soft Silk Touch, Realistic Parting, Women's Lightweight European Style, Fashion Wig, Machine Made Wig",14.0,3.0,42.0,3.0,42.12,8.0,4,Devi Wigs,时尚配件,,,products_new_us.csv
405,"Men's 2-in-1 Photochromic Semi-Rim Square Eyeglasses - Blue Light Blocking Indoor-Outdoor Glasses, Auto-Darken UV-Shielding Sunglasses with Free Leather Case & Lens Cloth",9.99,3.0,29.97,3.0,29.97,17.0,4,ChromaVue,时尚配件,,,products_new_us.csv
406,"# 0383 14k Gold-Plated Men's Rosary, 22in High-Quality Daily Wear Accessory",34.99,3.0,104.97,3.0,104.97,16.5,4,Andrea Joyas laminadas,时尚配件,,,products_new_us.csv
407,"Women’s Layered Thigh Chain, Multi-Strand Body Jewelry for Parties, Festivals, Club Outfits and Special Occasions, Adjustable Leg Accessory",9.99,3.0,29.97,3.0,29.97,13.0,4,WW1D shop,时尚配件,,,products_new_us.csv
408,"RGB ZEDS DEAD Clip-On Hat Sprout Shape Hair Clips - 6-Pack, Dubstep Theme Festival Wear, EDM Party Accessory",13.1,3.0,39.24,3.0,39.24,14.5,4,Lil Headbangers,时尚配件,,,products_new_us.csv
409,watche-FX453 gold,299.0,3.0,897.0,3.0,897.0,,4,Fashionable Exquisite Watches,时尚配件,,,products_new_us.csv
410,2 pack Bee Feeder for Mason Jar Regular and Wide Mouth Mason Jar Compatible Silicone Bee Sugar Water Feeder for Outside Garden,12.76,3.0,38.28,3.0,38.28,5.0,4,Pinwhat,时尚配件,,,products_new_us.csv
421,"Mom Daughter Necklace Set, Heart Lock Matching Pendant Necklace for Mother and Child, Sentimental Keepsake Jewelry Gift, Cute Family Bond Necklace for Women and Girls, Perfect Mother's Day Gift, Birthday Present, Anniversary and Everyday Wear",8.99,3.0,26.97,3.0,26.97,15.0,4,IFAJ815 shop,时尚配件,,,products_new_us.csv
422,"Retro cross red copper bracelet, with built-in strong magnet. The opening can be adjusted freely in size. It has an aged retro look and is suitable for both men and women. It's the perfect gift for giving or keeping yourself!",7.9,3.0,23.7,3.0,23.7,15.5,4,HELLO-M,时尚配件,,,products_new_us.csv
423,"Cute Leopard Print Teddy Fleece Hair Bonnet With Bear‑Ear Bow Ruffle Edge, Satin‑Lined Adjustable Large Size Heatless Sleep Hair Wrap, Hair Protect Cap For Curly Natural Hair, Night Skincare Makeup Women’s Gift",10.99,3.0,32.97,3.0,32.97,15.0,4,JUNE shop,时尚配件,,,products_new_us.csv
424,"Women's 2-Piece Fashion Headband Set with Clips - Retro Plain Polyester Twist Braid Tool, Non-Slip Toothed Skeleton Hair Accessories for Everyday Styling (Black & Brown), Fashion Headbands",8.99,3.0,26.97,3.0,26.97,15.0,4,JFSIN shop,时尚配件,,,products_new_us.csv
425,【Hot Sale】VIPbeauty Yaki Straight Short Bob Wig 14 Inch 13x4 Lace Front Wigs Human Hair Pre Plucked Natural Hairline with Baby Hair for Black Women Daily Wear,85.0,3.0,254.79,3.0,254.79,5.0,4,VIPbeauty Hair Shop,时尚配件,,,products_new_us.csv
426,"Rimless Diamond Cut Black Metal Non-Prescription Eyeglasses - Women’s & Men’s Luxury Engraved Temple Fashion Retro Optical Frames, Black Metal Non-Prescription Glasses, Classic Round Frame Non-Prescription Glasses",7.8,3.0,23.4,3.0,23.4,15.0,4,Glaress,时尚配件,,,products_new_us.csv
427,"LGZ# Men’s Chronograph Wristwatch with Tachymeter Bezel, Date Display and Stainless Steel Bracelet, Fashion Sport Business Watch",9.0,3.0,27.0,3.0,27.0,,4,FeiceOfficial,时尚配件,,,products_new_us.csv
428,"Bull Head Printing Baseball Cap & Necklace Set, Street Style Unisex Baseball Cap, Fashion Accessories for Men & Women",5.17,3.0,15.51,3.0,15.51,,4,Zheyue Hat Trading,时尚配件,,,products_new_us.csv
429,"Women'S Short Gray-Silvery Wig, Layered Pixie Cut with Bangs, Synthetic Short Gray Hair Wig, Ready to Wear",21.8,3.0,65.48,3.0,65.48,10.0,4,LuoShuangYingShop,时尚配件,,,products_new_us.csv
430,"Colorful Cubic Zirconia Cross Necklace for Women, Gold Plated Copper Rainbow Crystal Pendant Necklace, Adjustable 17.7 + 2 in Chain, Dainty Faith Jewelry Gift for Her",12.9,3.0,38.7,3.0,38.73,15.0,4,Fellosazion,时尚配件,,,products_new_us.csv
441,"Women's Fashion Watch Bracelet Set with Alloy Round Roman Numerals, jewelry gifts, Fashionable Bracelet Style, Valentine's Day Gift, Christmas, Birthday, Bangles Bracelets Set, Bracelet Sets, Mix Bracelets, Bracelet Bundle",4.12,2.0,8.24,2.0,8.24,,4,HE TRADE,时尚配件,,,products_new_us.csv
442,"2026 New Style Unisex Wasteland Retro Distressed Duckbill Hat, Personalized Niche Stitching Grid Pattern Forward Cap, Vintage Sunshade Casual Headwear, Ideal for Daily Wear & Street Fashion",13.88,2.0,27.76,28.0,409.7,10.0,4,BAIPENGSHOP,时尚配件,,,products_new_us.csv
443,"Zeds Dead Dubstep Sprouted Hair Clip Accessory - 3D Printed Collectable Hair Decor, Unisex Base Music Fans Party Item, 2 Pcs Designed for EDM Festivals, Rave Hat Accessory for Lil Headbangers, Sprout Clip",11.0,2.0,22.12,2.0,22.12,14.5,4,Lil Headbangers,时尚配件,,,products_new_us.csv
444,purple eye bracelet,5.0,2.0,10.0,2.0,10.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
445,NAVY AND CREAM TOP FINAL SALE NO REFUND,30.0,2.0,60.0,2.0,60.0,,4,Hey Sister and Co,时尚配件,,,products_new_us.csv
446,"Women's Silver Grey 28-Inch Long Straight 13x4 Free Part Lace Front Wig, Heat Resistant Synthetic Fiber, for Daily Use, Party Cosplay",33.9,2.0,67.8,2.0,67.8,12.0,4,FineMe Hair,时尚配件,,,products_new_us.csv
447,Chai Necklace: gold,6.0,2.0,12.0,2.0,12.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
448,leaf heart ring: blue,5.0,2.0,10.0,2.0,10.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
449,"9pcs 20G Stainless Steel Nose Piercings Set, With Planet, Butterfly, Heart, Star Nose Hoop Piercings, Hypoallergenic Nose Rings Set, Nose Clickers Set",13.0,2.0,29.36,2.0,29.36,14.0,4,Jungle Piercing Store,时尚配件,,,products_new_us.csv
450,Disney Store Plush Keychain Bag Charm – Blue – D23: The Ultimate Disney Fan Event,43.98,2.0,87.98,2.0,87.98,10.0,4,Disney Store,时尚配件,,,products_new_us.csv
461,"Lolita Style Wing Headband, Gothic Cross Angel Hair Accessory, Punk Cosplay Costume, Elegant Patchwork Design, All Seasons",4.87,2.0,9.74,2.0,9.74,,4,DC Goth Acc,时尚配件,,,products_new_us.csv
462,sapphire flower bracelet,10.0,2.0,20.0,2.0,20.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
463,2026 Women Checkered Nylon Fanny Pack Y2K Trendy Crossbody Belt Bag Adjustable Strap Sling Purse Large Capacity Waist Pouch for Outdoor Festival,16.99,2.0,33.98,2.0,33.98,12.0,4,FSV221 shop,时尚配件,,,products_new_us.csv
464,"Fluffy Fuzzy Beanie Hat for Women Men, Soft Knit Winter Hat, Cozy Warm Y2K Streetwear Cap, Trendy Fashion Accessory",10.0,2.0,19.98,2.0,19.98,10.0,4,PickNShine Shop,时尚配件,,,products_new_us.csv
465,heart huggies- sapphire,6.0,2.0,12.0,2.0,12.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
466,"Women's Hair Accessory Set - 1 Polka Dot Scrunchie, 10Pcs Luxury Smooth Soft Foam Heatless Hair Rollers, Overnight No-Heat Curl/Wave Maker, Haircare Styling Tools (Summer Clearance)",7.99,2.0,15.98,2.0,15.98,14.5,4,Blush KORBIN,时尚配件,,,products_new_us.csv
467,lucky butterfly huggies- blue,5.0,2.0,10.0,2.0,10.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
468,turquoise bracelet,7.0,2.0,14.0,2.0,14.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
469,sapphire solitaire heart necklace,5.0,2.0,10.0,2.0,10.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
470,A sweet and playful sparkling heart-shaped crystal halo necklace is a gorgeous accessory for girls to wear at proms and parties.,4.98,2.0,9.96,2.0,9.96,,4,STEELVIBE,时尚配件,,,products_new_us.csv
471,ORO LAMINADO 14K,10.0,2.0,20.0,2.0,20.0,,4,Didiray Jewerly,时尚配件,,,products_new_us.csv
472,"Unisex Cooling Breathable Skull Cap - Sun-Shade Neck Shield, Quick-Dry Outdoor Fashion Accessory Head Scarf",,2.0,23.98,2.0,23.98,10.0,4,Forugift,时尚配件,,,products_new_us.csv
473,"Spa Headband for Washing Face, Skincare Headband Wristband Set for Women, Reusable Machine-Washable Makeup Remover Towel Cloth",7.0,2.0,15.94,2.0,15.94,2.0,4,Limitless Trek,时尚配件,,,products_new_us.csv
474,"Women's 14k Body Chain, Sexy Layered Waist Belt, Waist Chains, Cross Bikini Bra Jewelry, Summer Beach Rhinestone Crystal Bead Accessory",2.55,2.0,5.1,2.0,5.1,,4,O&C Arcs,时尚配件,,,products_new_us.csv
475,"Luxury 24k Plated Open Ring, Retro Ethnic Adjustable Finger Ring for Women, Fashion Jewelry, Stylish Accessory",15.3,2.0,30.6,2.0,28.12,8.0,4,Golden light dot,时尚配件,,,products_new_us.csv
476,"Adjustable Sci-Fi Mechanical Gloves Set with Unique Mechanical Design, Featuring Claw Rings And Skeleton Structure, Classic And Fashionable Silvery And Black Color, Metal Material, No Feathers, with Knuckles",20.89,2.0,41.78,2.0,41.78,10.0,4,LuoShuangYingShop,时尚配件,,,products_new_us.csv
477,"Cute Y2K Millennial Cat Glasses, Retro Plain Frame Sunglasses, Perfect for Street Photography, Fashionable Accessory, Trendy Frames",4.92,2.0,9.84,2.0,9.84,,4,DC Goth Acc,时尚配件,,,products_new_us.csv
478,"925 Sterling Silver, 2.5-3 Gram, Karma Circle Ring",4.0,2.0,8.0,2.0,8.0,,4,Shop Minddha,时尚配件,,,products_new_us.csv
479,"Summer Ocean Style Dolphin 3-Piece Ring Set for Women, Blue Enamel Dolphin, Rhinestone Starfish & Wave Open Rings, Available in Gold & Silver, Fresh Stackable Rings, Dainty Stacking Rings for Beach Vacation, Small Gifts for Best Friends & Girls",4.2,2.0,8.4,2.0,8.4,,4,Chic Aura Glitters,时尚配件,,,products_new_us.csv
480,14#RM-Cuban-10-24,26.0,2.0,52.0,2.0,52.0,,4,Holylegend Jewelry USA,时尚配件,,,products_new_us.csv
481,Amour Necklace,30.1,2.0,60.2,2.0,60.2,10.0,4,JewelsByJules,时尚配件,,,products_new_us.csv
482,"Unisex Square Silk Scarf Houndstooth Shemagh Print, Soft Breathable Multi-Style Tactical Head Wrap Bandana Neck Kerchief, Modest Muslim Hijab for Desert Outdoor & Holiday Gift",12.0,2.0,24.0,2.0,23.98,15.0,4,Noble Nest Shop,时尚配件,,,products_new_us.csv
483,"16pcs Women Personalized Water Drop Shaped Barrettes, Colorful Leopard & Zebra Pattern Hairpins, Cute Star Hair Clips Claw Clips, Clips For Hair, Hair Slide, Hair Claws",3.96,2.0,7.92,2.0,7.92,,4,YourBeautyAccs,时尚配件,,,products_new_us.csv
485,"14K CADENA 22"" NO RETURNS NO CANCELACIONES",1.0,2.0,890.0,2.0,2.0,,4,ZzocaloJewelry,时尚配件,,,products_new_us.csv
486,4 Pcs 14K Gold Plated 1.3mm Thin Stackable Rings for Women - Minimalist Non Tarnish Half Cubic Zirconia Band Rings - Dainty Trendy Statement Stacking Rings Set Size 5-9,15.09,2.0,30.18,2.0,30.18,16.5,4,Sanfenly Jewelry,时尚配件,,,products_new_us.csv
487,"50PCS Halloween Mochi Squishies, Mini Spooky Party Favors, Non-Candy Trick-or-Treat Bag Fillers, Classroom Prizes, Goodie Bag Stuffers & Halloween Gifts",23.56,2.0,47.12,2.0,64.48,10.0,4,LuoShuangYingShop,时尚配件,,,products_new_us.csv
488,Afro Kinky Curly Wigs with Bangs 200% Density Brazilian Remy Human Hair Full Machine Made Wigs Short Afro Curly Wigs for Women ELEGANT RHYTHM,63.0,2.0,126.0,2.0,126.0,12.5,4,店铺销量：-,时尚配件,,,products_new_us.csv
489,"Money Bracelet for Women Men with Black Onyxand Tiger's Eye - Luck Bracelet - Attract Wealth,Abundance and Prosperity Daily Wear AestheticJewelry Gift for Her Everyday Wear backtoschool",4.48,2.0,8.96,2.0,9.78,,4,Trendy Jewelry Mart,时尚配件,,,products_new_us.csv
490,"Leopard Print Shoulder Bag for Women, Trendy Chain Crossbody Purse with Animal Print Design, Y2K Vintage Style Handbag, Fashion Small Messenger Bag for Date Night, Party, Travel, Everyday Outfit Accessories, Cute Gift Bag for Her",19.0,2.0,37.98,2.0,37.98,10.0,4,PickNShine Shop,时尚配件,,,products_new_us.csv
492,"Double Gem C Shape Nose Ring Piercing Kit, Round & Heart Shiny Stone Hoop Nose Stud Set with Piercing Tool, Cute Curved Septum Rings Jewelry for Women Daily Body Piercing Decor",5.99,2.0,11.98,2.0,11.98,16.5,4,UniKey Hub,时尚配件,,,products_new_us.csv
493,"Women's synthetic asymmetrical short bob wig, suitable for cosplay, daily wear, and themed parties--smooth straight hair with an asymmetrical cut, suitable for costume wigs, photography styling, and can be matched with various skin tones and hairstyles",18.7,2.0,40.72,2.0,40.72,10.0,4,MuseChic,时尚配件,,,products_new_us.csv
494,"20PCS Set, Bulk Stretchy Hair Ropes, High‑Elasticity, Tortoiseshell Earth‑Tones Black Assorted Colors Set,Thickened Heavy‑Duty High Ponytail Hair Ties, Hair Tie, Soft Elastic Hair Tie,Elastic Hair Accessory, Hair Accessories for Women & Girls",9.99,2.0,19.98,2.0,21.24,10.0,4,Wink Charm Co.,时尚配件,,,products_new_us.csv
495,"Men's Stainless Steel Cuban Link Chain Necklace, 16""-26"" Length, 5-7mm Width, Adjustable Hypoallergenic Chain, Tarnish Resistant Silver Jewelry, Men's Accessories, Gifts for Him, Mens Gifts jewelry gift",,2.0,15.14,2.0,15.14,10.0,4,MAKE GLOW JEWELRY,时尚配件,,,products_new_us.csv
497,"Tennis Bracelets for Women Stainless Steel 4mm AAAAA Cubic Zirconia Classic Tennis Bracelet Sparkly CZ Bracelet with Fold Over Clasp, Size 6.5/7/7.5/8 Inch Romantic Valentines Day Jewelry",,2.0,25.4,2.0,25.48,15.0,4,Uloveido Brand,时尚配件,,,products_new_us.csv
498,LC036-1,11.0,2.0,22.0,2.0,22.0,,4,Lady Grayy Wigs USA,时尚配件,,,products_new_us.csv
499,4#14KGold-Rope-6-22,16.0,2.0,32.0,2.0,32.0,,4,Holylegend Jewelry USA,时尚配件,,,products_new_us.csv
500,triple butterfly bracelet- gold,10.0,2.0,20.0,2.0,20.0,,4,Gold Dipped Jewelry Inc,时尚配件,,,products_new_us.csv
