page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
3,61,【FitOver Sunglasses】SIPHEW Mirrored Sunglasses Polarized Fit Over Glasses for Women Men for Driving - Trendy Large Square Oversized UV400 Protection Sun Glasses,$14.00,,美国,Global EyeWear Selection,16.28万,太阳镜,15%,4453,-30.56%,$7.48万,4.28万,$67.02万
3,62,Zlzlblbl Hairline Brush for Human Hair Wigs Edge Control & Teasing Comb for Women's Styling(Random Color),$19.99,,美国,Zlzlblbl Hair Factory Store,11.86万,发饰套装,1%,4431,110.1%,$9.54万,1.46万,$30.73万
3,63,Zlzlblbl Hair Elastic Band for Human Hair Wig Edge(Random Color),$19.99,,美国,Zlzlblbl Hair Factory Store,11.86万,头绳,1%,4431,31.95%,$9.67万,1.47万,$30.88万
3,64,Zlzlblbl Natural Thick False Eyelashes For Women Randomly Send Out One,$19.99,,美国,Zlzlblbl Hair Factory Store,11.86万,头绳,1%,4431,110.5%,$9.57万,1.46万,$30.55万
3,65,Zlzlblbl Wig Cap for Women HD Lace Front Wigs 2 Pieces,$19.99,,美国,Zlzlblbl Hair Factory Store,11.86万,接发与假发配件,1%,4431,142.26%,$9.70万,1.48万,$30.92万
3,66,Zlzlblbl 1 Piece Silk Satin Hair Ties Ponytail Holder For Women Randomly Send Out One,$19.99,,美国,Zlzlblbl Hair Factory Store,11.86万,头绳,1%,4431,31.95%,$9.73万,1.47万,$30.98万
3,67,"HAILTH Pro Elastic No Buckle Invisible Belt for Men and Women(2 Pack) - Multiple Color & Fit Options, Patented Buckle-Free Design, Gift Box Included - for Summer Vibes, Outdoor Fun,summerwins tiktokshopbacktoschool",$9.60 - 23.99,,美国,HAILTH,9.32万,皮带,12%,4428,-9.89%,$5.59万,8.67万,$111.75万
3,68,"QVR 1Pcs Latch Hook Tool, Latch Hook Crochet Needle for Micro Braids, Hair Extension, Feather and Carpet",$35.00,,美国,qvr hair,10.94万,真人发接发&发片,3%,4416,820%,$16.99万,3.12万,$98.63万
3,69,Heather Gray Set & Flow Active Curling Headband – Kitsch Heatless Hair Curler for Soft Waves & Curls,$20.60,,美国,Kitsch,195.83万,卷发器,17%,4382,-5.64%,$12.57万,1.18万,$32.48万
3,70,"Vibrant Beach Shawl, Loose Fit, Sun Protection, Casual Style, Perfect for Vacation & Daily Wear, Embrace Summer Comfort, Beach Coverups",$9.87,,美国,IROJEFF Shop,18.79万,围巾&围脖,8%,4371,5728%,$4.99万,4601,$5.26万
4,81,"100pcs Ultimate Hair Tie Set, Super Elastic Ponytail Holders, Soft Rubber Hair Bands, Fun Fashion Accessories for Women, Perfect Gift, Fashionable Hair Accessories, Elastic Hair Ties",$1.83,,美国,NanliAccessory,2.09万,头绳,8%,4050,-0.32%,$7832.8,8852,$1.76万
4,82,Frodio Veralux™ Blend Human Hair Shaggy Waves 3-in-1 Half Wig#SohoChic,$53.10,,美国,FRODIO,79.69万,真人发前蕾丝头套,5%,4027,-18.78%,$21.74万,5.03万,$291.08万
4,83,"Hair Turban, 3-Piece Plain Microfiber Super Absorbent Towel for Women, Extra Soft Fast Dry Cap for Shiny Hair, Absorbent Quick Dry, Female, Three Pieces",$7.99 - 12.40,,美国,JJBD Shop,15.96万,帽子,14%,4025,113.75%,$5.91万,2.69万,$48.32万
4,84,"Kimorn Polarized Square Fit-Over Sunglasses for Men and Women, Lightweight Trendy Casual Frame with UV400 Protection for Driving & Outdoors, High Quality Sunglasses, Trendy Casual Sunglasses",$18.99,,美国,AE Glasses,14.02万,太阳镜,15%,4010,-48.51%,$6.67万,1.89万,$32.03万
4,85,"YLNWH 18G Titanium Steel Nose Rings Set – Internally Threaded Horseshoe Hoop with Gems, Surgical Grade, Includes Insertion Tool",$10.66,,美国,Nuvilite,5.33万,身体饰品,15%,4006,-23.71%,$4.84万,1.11万,$13.55万
4,86,2026 US SummerVibes | Tactical Metal Hook Elastic Belt (Unisex) - Patented No - Buckle Invisible Design / EDC / EveryDayCarry / Soft Adjustable Side Waist Belt Pocket belts for men,$8.98,,美国,FortuneAdorn,21.17万,皮带,12%,4005,29.95%,$4.35万,2.99万,$35.38万
4,87,"Sunber Custom Wig Bonding Adhesive Backed Double-Sided Sticky Tape, Hair Extension Accessory",$9.99,,美国,Sunber Hair,19.69万,接发与假发配件,3%,3988,750.32%,$5.03万,2.42万,$27.05万
4,88,"Women's Luxury 4-Pack Zircon Stud Earring Set - Gold/Silver, Round/Square Styles, Hypoallergenic Fit, Everyday Wear, Matching Backs, Complimentary Box - Accessories for Women, Premium Gifts, Gemstone stud earrings, Jewelry For Women",$13.57,,美国,LUNARA,3.68万,耳环,10%,3963,-10.4%,$6.15万,3.23万,$47.62万
